"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-04-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1454,-0.00410958904109589,0.00902151283830673,0.0605397520058352,51832
2014-04-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1162,0.00172413793103448,-0.00257510729613734,0.031055900621118,56868
2014-04-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,890,0.00338218714768884,0.0102156640181612,0.0289017341040462,47175
2014-04-30,"Upper West Side","NY","New York","New York","New York",3,3983,0.00251698968034231,0.0233812949640288,0.0548199152542373,18959
2014-04-30,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",4,1850,0.00325379609544469,0.00108225108225108,0.000540832882639265,22200
2014-04-30,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",5,2405,0.00208333333333333,0.0109289617486339,0.0282171868319795,33861
2014-04-30,"Upper East Side","NY","New York","New York","New York",6,3741,0.00241157556270096,0.0420612813370474,-0.00213390237396639,17511
2014-04-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1013,0.00896414342629482,0.0109780439121757,0.0326197757390418,40004
2014-04-30,"East New York","NY","New York","Kings","New York",8,2014,0.0100300902708124,0.00800800800800801,0.0857142857142857,5207
2014-04-30,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",9,1744,0.00057372346528973,0.00925925925925926,0.0127758420441347,13690
2014-04-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",10,1157,0,-0.00344530577088717,0.0202821869488536,59933
2014-04-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",11,1146,0.0026246719160105,0.00880281690140845,0.0123674911660777,49671
2014-04-30,"Astoria","NY","New York","Queens","New York",12,2282,-0.00349344978165939,0.0173874275523852,0.118079372856443,3549
